,Prefectures,Communes,Precincts,Ballots,Registered,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072
1,SHKODER,SHKODER_GRUEMIRE,1,374,678,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,133,0,0,0,0,0,0,0,0,5,0,0,0,0,0,95,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1
2,SHKODER,SHKODER_GRUEMIRE,2,213,495,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,SHKODER,SHKODER_GRUEMIRE,21,202,616,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,10,0,0,145,0,0,0,0,0,0,0,0,6,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
4,SHKODER,SHKODER_GRUEMIRE,3,318,672,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,18,0,0,136,1,0,0,0,0,3,0,0,1,0,0,0,0,0,64,9,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11
5,SHKODER,SHKODER_GRUEMIRE,4,271,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
6,SHKODER,SHKODER_GRUEMIRE,5,153,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,2
7,SHKODER,SHKODER_GRUEMIRE,6,217,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
8,SHKODER,SHKODER_GRUEMIRE,7,180,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,5,0
9,SHKODER,SHKODER_GRUEMIRE,8,417,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,204,0,0,0,0,0,0,0,0,1,0,0,0,0,3,160,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2
10,SHKODER,SHKODER_GRUEMIRE,9,107,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,SHKODER,SHKODER_GRUEMIRE,11,99,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SHKODER,SHKODER_GRUEMIRE,12,281,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,27,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
13,SHKODER,SHKODER_GRUEMIRE,13,220,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
14,SHKODER,SHKODER_GRUEMIRE,16,231,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,SHKODER,SHKODER_GRUEMIRE,17,474,698,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,0,80,0,0,124,0,0,0,0,0,2,0,0,3,0,0,0,0,0,88,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16,SHKODER,SHKODER_GRUEMIRE,18,97,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,SHKODER,SHKODER_GRUEMIRE,19,119,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19
18,SHKODER,SHKODER_GRUEMIRE,20,189,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19,SHKODER,SHKODER_GRUEMIRE,23,104,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
20,SHKODER,SHKODER_GRUEMIRE,24,221,454,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,44,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
21,SHKODER,SHKODER_GRUEMIRE,25,322,720,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,58,0,0,112,0,0,0,0,0,2,0,0,11,0,0,0,0,0,101,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9
22,SHKODER,SHKODER_KASTRAT,26,312,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
